case_name,algorithm,n,minrun,insertion_ratio,extended_run_count,weighted_merge_workload,merge_comparisons,natural_run_count,natural_normalized_run_count,natural_avg_run_length,natural_run_cv,natural_max_run_ratio,natural_max_to_avg_ratio,natural_run_entropy,natural_run_entropy_bound_nH,adjusted_run_count,adjusted_normalized_run_count,adjusted_avg_run_length,adjusted_run_cv,adjusted_max_run_ratio,adjusted_max_to_avg_ratio,adjusted_run_entropy,adjusted_run_entropy_bound_nH
balanced_runs,timsort_style_with_minrun,512,32,0.0,0,1536,768,8,0.015625,64.0,0.0,0.125,1.0,3.0,1536.0,8,0.015625,64.0,0.0,0.125,1.0,3.0,1536.0
balanced_runs,powersort_style_with_minrun,512,32,0.0,0,1536,768,8,0.015625,64.0,0.0,0.125,1.0,3.0,1536.0,8,0.015625,64.0,0.0,0.125,1.0,3.0,1536.0
balanced_runs,timsort_style_without_minrun,512,0,0.0,0,1536,768,8,0.015625,64.0,0.0,0.125,1.0,3.0,1536.0,8,0.015625,64.0,0.0,0.125,1.0,3.0,1536.0
balanced_runs,powersort_style_without_minrun,512,0,0.0,0,1536,768,8,0.015625,64.0,0.0,0.125,1.0,3.0,1536.0,8,0.015625,64.0,0.0,0.125,1.0,3.0,1536.0
exponential_runs,timsort_style_with_minrun,504,63,0.25,2,878,454,6,0.011904761904761904,84.0,1.0312575156051291,0.5079365079365079,3.0476190476190474,1.8820418282618212,948.5490814439579,4,0.007936507936507936,126.0,0.6256012477120118,0.5079365079365079,2.0317460317460316,1.741789396627572,877.8618559002963
exponential_runs,powersort_style_with_minrun,504,63,0.25,2,878,454,6,0.011904761904761904,84.0,1.0312575156051291,0.5079365079365079,3.0476190476190474,1.8820418282618212,948.5490814439579,4,0.007936507936507936,126.0,0.6256012477120118,0.5079365079365079,2.0317460317460316,1.741789396627572,877.8618559002963
exponential_runs,timsort_style_without_minrun,504,0,0.0,0,952,496,6,0.011904761904761904,84.0,1.0312575156051291,0.5079365079365079,3.0476190476190474,1.8820418282618212,948.5490814439579,6,0.011904761904761904,84.0,1.0312575156051291,0.5079365079365079,3.0476190476190474,1.8820418282618212,948.5490814439579
exponential_runs,powersort_style_without_minrun,504,0,0.0,0,952,496,6,0.011904761904761904,84.0,1.0312575156051291,0.5079365079365079,3.0476190476190474,1.8820418282618212,948.5490814439579,6,0.011904761904761904,84.0,1.0312575156051291,0.5079365079365079,3.0476190476190474,1.8820418282618212,948.5490814439579
many_tiny_runs,timsort_style_with_minrun,128,32,1.0,4,256,128,64,0.5,2.0,0.0,0.015625,1.0,6.0,768.0,4,0.03125,32.0,0.0,0.25,1.0,2.0,256.0
many_tiny_runs,powersort_style_with_minrun,128,32,1.0,4,256,128,64,0.5,2.0,0.0,0.015625,1.0,6.0,768.0,4,0.03125,32.0,0.0,0.25,1.0,2.0,256.0
many_tiny_runs,timsort_style_without_minrun,128,0,0.0,0,768,384,64,0.5,2.0,0.0,0.015625,1.0,6.0,768.0,64,0.5,2.0,0.0,0.015625,1.0,6.0,768.0
many_tiny_runs,powersort_style_without_minrun,128,0,0.0,0,768,384,64,0.5,2.0,0.0,0.015625,1.0,6.0,768.0,64,0.5,2.0,0.0,0.015625,1.0,6.0,768.0
alternating_minrun_large_runs,timsort_style_with_minrun,960,60,0.0,0,2560,1408,6,0.00625,160.0,0.6,0.26666666666666666,1.6,2.306890595608519,2214.614971784178,6,0.00625,160.0,0.6,0.26666666666666666,1.6,2.306890595608519,2214.614971784178
alternating_minrun_large_runs,powersort_style_with_minrun,960,60,0.0,0,2560,1216,6,0.00625,160.0,0.6,0.26666666666666666,1.6,2.306890595608519,2214.614971784178,6,0.00625,160.0,0.6,0.26666666666666666,1.6,2.306890595608519,2214.614971784178
alternating_minrun_large_runs,timsort_style_without_minrun,960,0,0.0,0,2560,1408,6,0.00625,160.0,0.6,0.26666666666666666,1.6,2.306890595608519,2214.614971784178,6,0.00625,160.0,0.6,0.26666666666666666,1.6,2.306890595608519,2214.614971784178
alternating_minrun_large_runs,powersort_style_without_minrun,960,0,0.0,0,2560,1216,6,0.00625,160.0,0.6,0.26666666666666666,1.6,2.306890595608519,2214.614971784178,6,0.00625,160.0,0.6,0.26666666666666666,1.6,2.306890595608519,2214.614971784178
one_huge_tail_raw_runs,timsort_style_with_minrun,576,36,0.125,2,648,548,33,0.057291666666666664,17.454545454545453,5.008673033404712,0.8888888888888888,29.333333333333336,1.0588138903312005,609.8768008307716,3,0.005208333333333333,192.0,1.1490485194281397,0.875,2.625,0.6685644431995963,385.09311928296745
one_huge_tail_raw_runs,powersort_style_with_minrun,576,36,0.125,2,648,548,33,0.057291666666666664,17.454545454545453,5.008673033404712,0.8888888888888888,29.333333333333336,1.0588138903312005,609.8768008307716,3,0.005208333333333333,192.0,1.1490485194281397,0.875,2.625,0.6685644431995963,385.09311928296745
one_huge_tail_raw_runs,timsort_style_without_minrun,576,0,0.0,0,896,672,33,0.057291666666666664,17.454545454545453,5.008673033404712,0.8888888888888888,29.333333333333336,1.0588138903312005,609.8768008307716,33,0.057291666666666664,17.454545454545453,5.008673033404712,0.8888888888888888,29.333333333333336,1.0588138903312005,609.8768008307716
one_huge_tail_raw_runs,powersort_style_without_minrun,576,0,0.0,0,904,662,33,0.057291666666666664,17.454545454545453,5.008673033404712,0.8888888888888888,29.333333333333336,1.0588138903312005,609.8768008307716,33,0.057291666666666664,17.454545454545453,5.008673033404712,0.8888888888888888,29.333333333333336,1.0588138903312005,609.8768008307716
one_huge_tail_minrun_aware,timsort_style_with_minrun,768,48,0.0,0,1280,768,5,0.006510416666666667,153.6,1.1666666666666667,0.6666666666666666,3.3333333333333335,1.584962500721156,1217.2512005538479,5,0.006510416666666667,153.6,1.1666666666666667,0.6666666666666666,3.3333333333333335,1.584962500721156,1217.2512005538479
one_huge_tail_minrun_aware,powersort_style_with_minrun,768,48,0.0,0,1344,768,5,0.006510416666666667,153.6,1.1666666666666667,0.6666666666666666,3.3333333333333335,1.584962500721156,1217.2512005538479,5,0.006510416666666667,153.6,1.1666666666666667,0.6666666666666666,3.3333333333333335,1.584962500721156,1217.2512005538479
one_huge_tail_minrun_aware,timsort_style_without_minrun,768,0,0.0,0,1280,768,5,0.006510416666666667,153.6,1.1666666666666667,0.6666666666666666,3.3333333333333335,1.584962500721156,1217.2512005538479,5,0.006510416666666667,153.6,1.1666666666666667,0.6666666666666666,3.3333333333333335,1.584962500721156,1217.2512005538479
one_huge_tail_minrun_aware,powersort_style_without_minrun,768,0,0.0,0,1344,768,5,0.006510416666666667,153.6,1.1666666666666667,0.6666666666666666,3.3333333333333335,1.584962500721156,1217.2512005538479,5,0.006510416666666667,153.6,1.1666666666666667,0.6666666666666666,3.3333333333333335,1.584962500721156,1217.2512005538479
near_minrun_boundary,timsort_style_with_minrun,384,48,0.0,0,1024,451,6,0.015625,64.0,0.015625,0.16927083333333334,1.015625,2.5847863833200293,992.5579711948913,6,0.015625,64.0,0.015625,0.16927083333333334,1.015625,2.5847863833200293,992.5579711948913
near_minrun_boundary,powersort_style_with_minrun,384,48,0.0,0,1024,449,6,0.015625,64.0,0.015625,0.16927083333333334,1.015625,2.5847863833200293,992.5579711948913,6,0.015625,64.0,0.015625,0.16927083333333334,1.015625,2.5847863833200293,992.5579711948913
near_minrun_boundary,timsort_style_without_minrun,384,0,0.0,0,1024,451,6,0.015625,64.0,0.015625,0.16927083333333334,1.015625,2.5847863833200293,992.5579711948913,6,0.015625,64.0,0.015625,0.16927083333333334,1.015625,2.5847863833200293,992.5579711948913
near_minrun_boundary,powersort_style_without_minrun,384,0,0.0,0,1024,449,6,0.015625,64.0,0.015625,0.16927083333333334,1.015625,2.5847863833200293,992.5579711948913,6,0.015625,64.0,0.015625,0.16927083333333334,1.015625,2.5847863833200293,992.5579711948913
